Height,Weight,Age,Gender,Activity_Level,Body_Fat,Goal,BMI,Plan
157,97,37,0,1.725,26.62,Strength,39.35,Cut
196,109,26,1,1.725,30.69,Strength,28.37,Cut
184,106,48,0,1.55,35.52,Health,31.31,Cut
163,61,47,1,1.375,39.58,Health,22.96,Cut
166,87,36,0,1.2,15.98,Aesthetics,31.57,Lean
185,69,54,0,1.375,13.79,Aesthetics,20.16,Bulk
199,47,35,0,1.725,22.78,Strength,11.87,Cut
189,73,23,0,1.725,9.12,Strength,20.44,Bulk
153,76,57,1,1.725,33.33,Aesthetics,32.47,Cut
151,70,52,1,1.725,36.28,Strength,30.7,Cut
155,60,24,0,1.2,29.95,Aesthetics,24.97,Cut
191,69,40,1,1.375,16.58,Health,18.91,Lean
153,98,40,0,1.2,11.94,Health,41.86,Lean
178,72,48,1,1.2,20.23,Health,22.72,Recomp
167,117,17,0,1.725,34.67,Strength,41.95,Cut
175,100,34,1,1.2,19.13,Health,32.65,Recomp
193,109,35,1,1.725,9.1,Strength,29.26,Lean
183,85,57,0,1.725,16.78,Health,25.38,Lean
159,95,56,0,1.725,39.68,Strength,37.58,Cut
185,115,57,0,1.2,29.65,Strength,33.6,Cut
163,73,44,0,1.725,36.83,Aesthetics,27.48,Cut
180,63,21,0,1.2,32.8,Aesthetics,19.44,Cut
197,110,32,1,1.375,25.27,Aesthetics,28.34,Cut
164,85,40,0,1.725,12.76,Strength,31.6,Lean
157,89,53,1,1.55,19.16,Aesthetics,36.11,Lean
163,59,19,0,1.55,26.68,Aesthetics,22.21,Cut
172,47,45,1,1.55,35.86,Aesthetics,15.89,Cut
189,55,35,1,1.55,16.6,Strength,15.4,Lean
170,97,18,0,1.55,11.88,Strength,33.56,Lean
165,90,38,0,1.2,25.88,Aesthetics,33.06,Cut
194,74,33,1,1.375,13.65,Aesthetics,19.66,Bulk
167,101,41,1,1.2,27.53,Strength,36.21,Cut
196,62,51,0,1.725,16.43,Strength,16.14,Lean
173,95,23,1,1.375,15.39,Aesthetics,31.74,Lean
175,92,32,1,1.375,20.77,Aesthetics,30.04,Lean
174,110,46,1,1.375,26.98,Aesthetics,36.33,Cut
194,52,52,1,1.375,25.45,Strength,13.82,Cut
190,66,48,1,1.55,15.83,Aesthetics,18.28,Lean
178,50,42,1,1.725,36.52,Strength,15.78,Cut
164,101,19,0,1.375,11.52,Health,37.55,Lean
194,80,37,0,1.375,9.26,Aesthetics,21.26,Bulk
150,101,41,0,1.55,27.29,Health,44.89,Cut
174,93,47,0,1.2,11.95,Strength,30.72,Lean
156,89,39,1,1.2,24.16,Health,36.57,Cut
158,110,50,0,1.2,38.46,Aesthetics,44.06,Cut
173,89,52,1,1.725,30.35,Health,29.74,Cut
150,64,47,1,1.2,27.76,Health,28.44,Cut
193,108,22,0,1.375,26.39,Health,28.99,Cut
157,111,48,0,1.55,13.75,Strength,45.03,Lean
173,47,46,1,1.55,21.84,Aesthetics,15.7,Lean
160,98,27,0,1.2,18.96,Strength,38.28,Lean
166,108,26,0,1.55,38.5,Health,39.19,Cut
157,84,39,1,1.375,15.75,Health,34.08,Lean
184,103,23,1,1.2,23.09,Strength,30.42,Cut
184,99,47,1,1.375,38.02,Strength,29.24,Cut
182,106,53,1,1.725,33.25,Health,32,Cut
154,48,37,1,1.375,38.86,Aesthetics,20.24,Cut
191,104,49,1,1.375,27.47,Strength,28.51,Cut
188,119,34,0,1.375,18.68,Health,33.67,Recomp
190,74,35,0,1.375,34.45,Health,20.5,Cut
177,46,29,0,1.725,17.33,Aesthetics,14.68,Lean
156,106,48,1,1.2,13.27,Health,43.56,Lean
158,93,25,1,1.375,30.6,Strength,37.25,Cut
157,53,31,0,1.2,28.45,Health,21.5,Cut
161,75,19,0,1.55,36.13,Health,28.93,Cut
183,105,42,0,1.375,38.78,Health,31.35,Cut
182,92,43,1,1.375,35.43,Health,27.77,Cut
197,69,58,0,1.55,9.92,Aesthetics,17.78,Bulk
172,80,31,0,1.2,29.26,Strength,27.04,Cut
173,52,48,0,1.725,33.11,Health,17.37,Cut
186,117,34,1,1.375,39.42,Strength,33.82,Cut
184,102,36,0,1.55,19.99,Aesthetics,30.13,Lean
193,89,37,0,1.55,13.44,Strength,23.89,Lean
189,106,24,1,1.375,35.29,Aesthetics,29.67,Cut
171,83,24,1,1.2,18.16,Strength,28.38,Lean
176,102,24,1,1.2,27.14,Strength,32.93,Cut
184,108,42,1,1.375,20.48,Health,31.9,Recomp
150,88,32,1,1.55,20.87,Strength,39.11,Lean
184,73,59,0,1.375,31.44,Health,21.56,Cut
186,103,23,0,1.725,19.57,Health,29.77,Recomp
196,115,31,1,1.725,30.18,Strength,29.94,Cut
163,53,33,1,1.2,8.46,Health,19.95,Bulk
152,50,48,1,1.725,18.39,Strength,21.64,Lean
150,73,16,1,1.55,18.21,Health,32.44,Recomp
154,102,27,0,1.725,31.96,Health,43.01,Cut
175,61,21,0,1.375,18.07,Aesthetics,19.92,Lean
163,60,56,1,1.55,28.27,Aesthetics,22.58,Cut
188,47,20,1,1.2,30.03,Strength,13.3,Cut
176,65,31,1,1.2,29.07,Health,20.98,Cut
158,108,33,1,1.725,27.31,Aesthetics,43.26,Cut
164,80,33,0,1.2,21.24,Aesthetics,29.74,Lean
164,106,16,1,1.375,19.95,Aesthetics,39.41,Lean
175,86,34,1,1.55,26.07,Health,28.08,Cut
191,86,23,0,1.375,10.04,Strength,23.57,Lean
162,105,18,1,1.375,36.03,Health,40.01,Cut
181,57,40,0,1.375,34.41,Health,17.4,Cut
188,55,20,1,1.375,19.08,Aesthetics,15.56,Lean
198,98,55,1,1.55,26.14,Health,25,Cut
181,60,34,0,1.55,37.83,Health,18.31,Cut
153,52,33,1,1.375,16.69,Aesthetics,22.21,Lean
179,103,46,0,1.375,31.76,Aesthetics,32.15,Cut
186,101,48,0,1.2,10.65,Health,29.19,Lean
172,84,33,0,1.2,24.75,Aesthetics,28.39,Cut
188,103,54,1,1.55,36.29,Strength,29.14,Cut
194,46,31,1,1.2,25.65,Strength,12.22,Cut
164,54,31,0,1.55,27.72,Strength,20.08,Cut
192,88,53,1,1.55,37.04,Strength,23.87,Cut
178,55,56,1,1.725,30.89,Strength,17.36,Cut
185,46,22,1,1.55,30.27,Aesthetics,13.44,Cut
162,94,29,0,1.2,26.76,Aesthetics,35.82,Cut
181,56,58,0,1.725,28.26,Strength,17.09,Cut
156,67,40,1,1.2,33.72,Strength,27.53,Cut
171,62,47,0,1.55,39.34,Strength,21.2,Cut
177,106,53,1,1.55,33.45,Aesthetics,33.83,Cut
151,106,37,1,1.375,30.64,Aesthetics,46.49,Cut
191,82,31,1,1.55,12.34,Health,22.48,Bulk
194,111,44,0,1.725,34.15,Health,29.49,Cut
155,82,31,0,1.55,31.55,Health,34.13,Cut
177,111,27,1,1.375,32.65,Health,35.43,Cut
177,105,32,0,1.55,15.4,Aesthetics,33.52,Lean
193,45,52,1,1.55,36.91,Aesthetics,12.08,Cut
193,89,42,0,1.55,11.11,Aesthetics,23.89,Lean
169,72,40,0,1.375,16.12,Aesthetics,25.21,Lean
179,65,28,0,1.2,29.22,Strength,20.29,Cut
160,57,23,1,1.55,29.56,Health,22.27,Cut
177,71,20,1,1.725,18.03,Aesthetics,22.66,Lean
174,51,27,1,1.375,30.45,Aesthetics,16.85,Cut
188,66,56,0,1.725,20.41,Health,18.67,Recomp
182,118,18,1,1.55,8.01,Aesthetics,35.62,Lean
150,97,50,1,1.375,13.2,Strength,43.11,Lean
176,48,48,1,1.55,36.24,Aesthetics,15.5,Cut
162,67,37,1,1.725,15.13,Health,25.53,Lean
190,114,59,0,1.375,11.61,Strength,31.58,Lean
152,77,24,0,1.2,29.83,Strength,33.33,Cut
188,72,56,1,1.2,22.1,Health,20.37,Cut
155,52,33,0,1.2,33.49,Health,21.64,Cut
157,45,44,0,1.55,35.57,Strength,18.26,Cut
176,81,54,0,1.375,35.07,Aesthetics,26.15,Cut
158,107,42,0,1.725,18.02,Health,42.86,Recomp
186,66,51,0,1.725,24.18,Strength,19.08,Cut
182,114,32,1,1.55,28.8,Health,34.42,Cut
191,65,49,0,1.55,18.3,Aesthetics,17.82,Lean
193,79,18,1,1.725,9.32,Aesthetics,21.21,Bulk
173,49,20,1,1.375,23.86,Strength,16.37,Cut
164,104,29,1,1.55,8.41,Aesthetics,38.67,Lean
181,90,18,0,1.375,38.42,Aesthetics,27.47,Cut
181,94,38,0,1.725,33.49,Aesthetics,28.69,Cut
173,92,54,0,1.375,14.14,Health,30.74,Lean
190,50,45,0,1.2,17.2,Strength,13.85,Lean
198,100,38,1,1.725,39.45,Strength,25.51,Cut
198,103,42,1,1.2,19.95,Strength,26.27,Lean
161,73,25,1,1.725,33.08,Aesthetics,28.16,Cut
188,115,40,0,1.2,22.3,Health,32.54,Cut
151,62,28,1,1.375,35.65,Strength,27.19,Cut
152,46,31,1,1.725,30.52,Health,19.91,Cut
198,52,56,1,1.725,8.73,Strength,13.26,Bulk
186,119,49,0,1.2,17.42,Aesthetics,34.4,Lean
198,98,52,1,1.375,25.86,Strength,25,Cut
166,82,37,1,1.725,37.64,Strength,29.76,Cut
198,92,32,0,1.55,11.26,Aesthetics,23.47,Lean
151,71,38,1,1.2,27.24,Aesthetics,31.14,Cut
151,64,51,0,1.725,17.67,Strength,28.07,Lean
177,56,24,1,1.375,36.46,Health,17.87,Cut
172,87,17,0,1.375,32.49,Aesthetics,29.41,Cut
186,105,47,0,1.375,19.83,Strength,30.35,Lean
181,75,37,0,1.375,13.35,Aesthetics,22.89,Bulk
182,105,58,1,1.2,8.37,Health,31.7,Lean
150,118,28,1,1.725,27.88,Strength,52.44,Cut
168,111,23,0,1.2,21,Strength,39.33,Lean
151,79,16,0,1.2,18.07,Health,34.65,Recomp
193,59,32,0,1.375,39.54,Health,15.84,Cut
175,60,27,0,1.55,22.92,Strength,19.59,Cut
181,57,19,0,1.375,31.99,Health,17.4,Cut
155,79,28,0,1.55,13.68,Health,32.88,Lean
181,119,46,0,1.2,8.43,Strength,36.32,Lean
153,103,56,0,1.375,21.36,Aesthetics,44,Lean
160,65,22,0,1.375,29.3,Health,25.39,Cut
166,98,38,0,1.2,24.21,Aesthetics,35.56,Cut
187,119,39,0,1.375,36.49,Aesthetics,34.03,Cut
173,74,20,0,1.725,21.89,Aesthetics,24.73,Lean
154,92,20,1,1.55,17.95,Health,38.79,Lean
183,79,32,0,1.55,37.31,Strength,23.59,Cut
155,82,45,1,1.55,21.02,Strength,34.13,Lean
171,75,24,1,1.375,16.63,Strength,25.65,Lean
160,68,21,1,1.725,11.13,Strength,26.56,Lean
197,93,40,0,1.375,33.39,Strength,23.96,Cut
165,76,34,1,1.55,34.4,Strength,27.92,Cut
182,99,31,0,1.375,9.07,Aesthetics,29.89,Lean
158,102,36,1,1.55,19.48,Aesthetics,40.86,Lean
155,47,17,0,1.2,32,Aesthetics,19.56,Cut
165,113,25,0,1.55,38.28,Health,41.51,Cut
178,54,31,1,1.2,20.09,Health,17.04,Recomp
152,69,52,1,1.2,35.91,Health,29.86,Cut
169,112,30,0,1.2,20.6,Strength,39.21,Lean
185,105,28,1,1.55,13.74,Aesthetics,30.68,Lean
168,73,28,0,1.725,8.11,Health,25.86,Lean
175,63,47,0,1.55,18.57,Aesthetics,20.57,Lean
152,87,23,0,1.375,20.11,Strength,37.66,Lean
168,110,58,1,1.375,38.24,Aesthetics,38.97,Cut
169,118,33,0,1.725,14.59,Strength,41.32,Lean
181,105,51,0,1.725,20.23,Health,32.05,Recomp
156,87,41,0,1.725,8.8,Strength,35.75,Lean
190,69,25,0,1.2,32.43,Strength,19.11,Cut
182,64,46,1,1.725,37.28,Aesthetics,19.32,Cut
189,92,48,1,1.725,15.61,Strength,25.76,Lean
188,68,44,1,1.725,21.73,Health,19.24,Recomp
167,55,20,1,1.55,11.91,Health,19.72,Bulk
189,99,28,0,1.375,22.62,Strength,27.71,Cut
150,72,16,0,1.375,12.27,Aesthetics,32,Lean
160,113,38,0,1.725,24.75,Health,44.14,Cut
177,107,55,0,1.375,31.51,Health,34.15,Cut
174,103,18,0,1.55,25.71,Strength,34.02,Cut
199,49,18,0,1.375,15.85,Strength,12.37,Lean
172,95,22,1,1.2,19.32,Health,32.11,Recomp
180,65,51,0,1.55,28.43,Strength,20.06,Cut
179,56,50,0,1.375,26.87,Strength,17.48,Cut
191,94,30,0,1.375,12.38,Health,25.77,Lean
184,48,55,1,1.55,35.04,Aesthetics,14.18,Cut
156,86,18,0,1.375,23.21,Aesthetics,35.34,Cut
165,82,44,0,1.375,13.2,Health,30.12,Lean
175,69,45,0,1.725,11.93,Strength,22.53,Bulk
197,58,54,1,1.2,38.9,Health,14.94,Cut
198,119,33,0,1.55,17.01,Health,30.35,Lean
151,76,26,0,1.725,37.07,Strength,33.33,Cut
150,55,58,1,1.375,21.14,Aesthetics,24.44,Lean
197,105,53,0,1.55,20.35,Aesthetics,27.06,Lean
161,62,55,1,1.55,30.43,Strength,23.92,Cut
154,71,16,0,1.2,8.32,Health,29.94,Lean
186,99,44,1,1.2,18.82,Strength,28.62,Lean
181,98,25,0,1.55,17.68,Health,29.91,Lean
158,119,43,0,1.2,35.78,Strength,47.67,Cut
190,65,46,1,1.2,24.93,Strength,18.01,Cut
184,88,34,0,1.375,19.67,Aesthetics,25.99,Lean
168,49,18,0,1.2,16.51,Aesthetics,17.36,Lean
197,85,51,1,1.2,26.9,Strength,21.9,Cut
165,103,58,0,1.725,12.85,Strength,37.83,Lean
152,98,30,1,1.375,15.88,Aesthetics,42.42,Lean
169,118,48,0,1.375,17.4,Health,41.32,Lean
173,66,56,1,1.55,27.45,Aesthetics,22.05,Cut
182,109,58,0,1.2,19.94,Health,32.91,Recomp
173,108,41,0,1.725,24.19,Aesthetics,36.09,Cut
160,115,31,1,1.725,28.81,Aesthetics,44.92,Cut
198,48,51,0,1.375,38.6,Health,12.24,Cut
157,109,48,1,1.2,32.47,Strength,44.22,Cut
185,59,35,1,1.725,20.97,Aesthetics,17.24,Lean
187,66,28,1,1.55,31.94,Aesthetics,18.87,Cut
189,91,48,0,1.2,38.39,Aesthetics,25.48,Cut
169,90,20,0,1.2,23.98,Strength,31.51,Cut
184,58,52,0,1.2,21.14,Aesthetics,17.13,Lean
197,94,29,1,1.725,10.5,Strength,24.22,Lean
174,64,42,1,1.375,36.56,Aesthetics,21.14,Cut
184,94,38,1,1.375,15.89,Health,27.76,Lean
174,77,29,0,1.55,10.05,Aesthetics,25.43,Lean
178,103,55,1,1.725,25.19,Aesthetics,32.51,Cut
167,87,19,0,1.2,35.07,Strength,31.2,Cut
195,56,54,0,1.55,21.01,Strength,14.73,Lean
167,84,34,0,1.55,33.06,Strength,30.12,Cut
151,64,19,0,1.375,34.76,Health,28.07,Cut
184,82,45,0,1.2,22.54,Health,24.22,Cut
165,47,34,0,1.2,26.91,Strength,17.26,Cut
190,72,46,0,1.725,25.09,Health,19.94,Cut
185,100,46,0,1.725,38.05,Strength,29.22,Cut
182,57,24,1,1.725,31.22,Health,17.21,Cut
153,110,28,0,1.55,37.61,Strength,46.99,Cut
182,81,29,0,1.2,15.04,Strength,24.45,Lean
163,93,25,1,1.375,17.93,Health,35,Lean
170,110,46,1,1.55,10.27,Aesthetics,38.06,Lean
197,80,52,1,1.55,24,Strength,20.61,Cut
169,98,38,1,1.375,35.97,Strength,34.31,Cut
157,70,42,0,1.375,18.46,Aesthetics,28.4,Lean
156,119,21,1,1.725,12.11,Strength,48.9,Lean
152,116,41,1,1.375,10.19,Strength,50.21,Lean
166,84,17,1,1.375,22.32,Health,30.48,Cut
182,87,28,1,1.375,13.25,Aesthetics,26.26,Lean
197,66,34,0,1.375,19.08,Strength,17.01,Lean
161,64,16,1,1.725,34.24,Strength,24.69,Cut
171,52,55,1,1.55,20.29,Aesthetics,17.78,Lean
171,73,47,1,1.2,27.52,Aesthetics,24.96,Cut
195,84,37,1,1.2,24.07,Health,22.09,Cut
179,74,44,0,1.55,30.99,Health,23.1,Cut
187,99,17,1,1.2,13,Health,28.31,Lean
187,60,55,1,1.2,37.45,Strength,17.16,Cut
194,90,53,1,1.55,28.6,Aesthetics,23.91,Cut
157,106,26,0,1.2,16.67,Health,43,Lean
176,51,32,1,1.2,11.94,Aesthetics,16.46,Bulk
176,89,58,1,1.55,12.79,Strength,28.73,Lean
183,103,23,0,1.2,33.05,Strength,30.76,Cut
170,100,37,1,1.375,26.82,Aesthetics,34.6,Cut
179,92,19,0,1.55,20.18,Aesthetics,28.71,Lean
182,71,26,0,1.725,18.65,Health,21.43,Recomp
177,97,23,1,1.2,35.38,Aesthetics,30.96,Cut
196,117,24,1,1.725,35.99,Health,30.46,Cut
182,79,41,0,1.2,26.6,Aesthetics,23.85,Cut
154,95,17,0,1.375,24.79,Aesthetics,40.06,Cut
197,81,31,1,1.55,34.13,Aesthetics,20.87,Cut
168,101,46,0,1.725,31.98,Strength,35.79,Cut
153,52,21,0,1.55,20.81,Strength,22.21,Lean
184,64,36,1,1.725,10.65,Strength,18.9,Bulk
198,97,41,0,1.2,32.59,Health,24.74,Cut
166,56,34,0,1.375,13.4,Health,20.32,Bulk
193,93,43,0,1.725,8.52,Strength,24.97,Lean
177,61,23,0,1.725,34.99,Strength,19.47,Cut
179,108,29,0,1.375,26.5,Aesthetics,33.71,Cut
178,86,39,0,1.375,36.53,Aesthetics,27.14,Cut
195,73,59,1,1.375,23.51,Health,19.2,Cut
155,63,52,0,1.375,37.65,Health,26.22,Cut
184,55,41,1,1.375,19.33,Aesthetics,16.25,Lean
190,94,46,1,1.55,31.18,Health,26.04,Cut
186,115,47,1,1.2,17.63,Strength,33.24,Lean
173,102,56,1,1.2,8.04,Aesthetics,34.08,Lean
178,78,17,1,1.725,20.15,Aesthetics,24.62,Lean
198,64,40,1,1.375,31.61,Health,16.32,Cut
195,94,59,1,1.55,12.8,Aesthetics,24.72,Lean
180,54,17,1,1.55,24.15,Aesthetics,16.67,Cut
184,76,57,0,1.725,14.79,Strength,22.45,Bulk
182,96,16,1,1.375,10.39,Aesthetics,28.98,Lean
170,59,51,1,1.2,27.76,Aesthetics,20.42,Cut
181,47,27,1,1.375,38.46,Aesthetics,14.35,Cut
172,81,24,0,1.55,17.94,Aesthetics,27.38,Lean
182,84,51,1,1.375,26.58,Strength,25.36,Cut
152,116,56,0,1.2,38.52,Aesthetics,50.21,Cut
167,84,43,1,1.2,28.82,Strength,30.12,Cut
174,100,53,1,1.725,29.54,Strength,33.03,Cut
191,67,48,0,1.55,13.73,Strength,18.37,Bulk
180,55,57,1,1.375,23.76,Health,16.98,Cut
152,108,37,0,1.375,19.75,Health,46.75,Recomp
189,52,40,0,1.725,23.07,Aesthetics,14.56,Cut
195,100,33,1,1.725,33.63,Strength,26.3,Cut
173,104,21,1,1.725,22.74,Health,34.75,Cut
199,54,33,0,1.55,10.01,Aesthetics,13.64,Bulk
181,83,31,0,1.375,36.98,Health,25.34,Cut
196,72,30,1,1.725,25.43,Strength,18.74,Cut
171,93,23,1,1.55,37.58,Aesthetics,31.8,Cut
172,80,28,1,1.375,26.32,Strength,27.04,Cut
151,57,58,0,1.2,10.23,Strength,25,Lean
176,80,22,1,1.725,25.69,Health,25.83,Cut
191,70,32,0,1.55,26.42,Aesthetics,19.19,Cut
151,48,47,1,1.375,14.86,Aesthetics,21.05,Bulk
175,108,37,0,1.375,23.07,Aesthetics,35.27,Cut
166,82,28,0,1.725,22.7,Health,29.76,Cut
189,66,38,1,1.725,27.93,Aesthetics,18.48,Cut
182,46,44,0,1.375,16.31,Health,13.89,Lean
158,75,37,0,1.55,26.62,Aesthetics,30.04,Cut
192,55,16,0,1.2,15.71,Health,14.92,Lean
197,90,44,0,1.375,22.29,Aesthetics,23.19,Cut
188,106,20,0,1.55,11.93,Health,29.99,Lean
178,113,50,1,1.725,9.19,Strength,35.66,Lean
191,108,25,1,1.375,18.26,Strength,29.6,Lean
175,54,34,0,1.725,16.79,Strength,17.63,Lean
184,84,52,1,1.2,21.02,Aesthetics,24.81,Lean
199,68,22,0,1.725,38.78,Health,17.17,Cut
174,88,50,0,1.2,24.71,Strength,29.07,Cut
173,104,28,1,1.725,25.7,Aesthetics,34.75,Cut
162,106,25,0,1.725,38.13,Health,40.39,Cut
156,61,17,0,1.2,37.48,Strength,25.07,Cut
185,109,21,0,1.725,36.29,Strength,31.85,Cut
194,101,23,1,1.55,11.14,Aesthetics,26.84,Lean
169,99,51,1,1.725,28.3,Health,34.66,Cut
150,97,40,0,1.375,33.86,Aesthetics,43.11,Cut
157,100,59,0,1.725,34.74,Strength,40.57,Cut
195,53,55,0,1.55,26.49,Aesthetics,13.94,Cut
165,66,22,0,1.375,8.56,Aesthetics,24.24,Lean
163,57,38,0,1.55,39.16,Strength,21.45,Cut
161,92,34,1,1.375,23.11,Strength,35.49,Cut
172,62,37,1,1.725,20.6,Health,20.96,Recomp
164,84,28,1,1.55,20.64,Health,31.23,Recomp
177,61,36,1,1.725,21.57,Strength,19.47,Lean
183,59,16,0,1.375,15.75,Strength,17.62,Lean
151,59,34,0,1.55,18.47,Health,25.88,Recomp
181,107,48,1,1.2,39.53,Aesthetics,32.66,Cut
172,83,19,1,1.55,19.78,Strength,28.06,Lean
171,57,57,0,1.725,24.86,Strength,19.49,Cut
174,76,18,1,1.2,35.15,Aesthetics,25.1,Cut
171,53,42,0,1.2,24.88,Health,18.13,Cut
171,84,56,0,1.375,18.38,Health,28.73,Recomp
198,64,50,0,1.2,24.76,Aesthetics,16.32,Cut
191,117,43,1,1.2,11.65,Strength,32.07,Lean
155,107,21,1,1.375,12.16,Aesthetics,44.54,Lean
164,88,21,1,1.55,30.21,Strength,32.72,Cut
192,82,59,1,1.725,37.36,Health,22.24,Cut
186,104,38,1,1.55,31.22,Strength,30.06,Cut
182,115,48,0,1.2,10.39,Strength,34.72,Lean
157,92,31,1,1.725,20.89,Strength,37.32,Lean
193,62,39,0,1.55,8.08,Strength,16.64,Bulk
193,60,20,0,1.725,24.36,Strength,16.11,Cut
154,99,56,0,1.2,14.18,Health,41.74,Lean
188,83,57,1,1.55,35.78,Aesthetics,23.48,Cut
153,112,28,1,1.725,11.34,Health,47.84,Lean
155,103,27,1,1.725,8.05,Strength,42.87,Lean
194,106,20,1,1.55,22.44,Aesthetics,28.16,Cut
181,57,52,1,1.55,12.97,Strength,17.4,Bulk
179,50,46,1,1.2,31.62,Health,15.61,Cut
196,104,43,1,1.375,37.44,Health,27.07,Cut
184,58,43,1,1.725,9.34,Strength,17.13,Bulk
189,98,45,0,1.55,20.66,Strength,27.43,Lean
165,48,33,1,1.55,39.9,Aesthetics,17.63,Cut
162,83,59,0,1.55,31.45,Aesthetics,31.63,Cut
199,116,42,0,1.725,38.5,Strength,29.29,Cut
191,69,50,0,1.2,13.25,Aesthetics,18.91,Bulk
179,76,41,0,1.375,15.08,Strength,23.72,Lean
168,103,54,1,1.725,12.95,Strength,36.49,Lean
166,107,33,1,1.2,17.68,Strength,38.83,Lean
168,82,48,0,1.725,31.18,Health,29.05,Cut
177,97,40,0,1.725,13.28,Strength,30.96,Lean
175,111,46,0,1.55,24.78,Strength,36.24,Cut
186,72,52,1,1.2,16.61,Strength,20.81,Lean
175,47,17,0,1.55,34.53,Aesthetics,15.35,Cut
172,66,48,0,1.55,8.21,Strength,22.31,Bulk
158,82,54,1,1.2,15.14,Health,32.85,Lean
161,116,58,0,1.55,27.37,Health,44.75,Cut
150,116,58,1,1.55,11.09,Strength,51.56,Lean
150,106,47,1,1.375,22.92,Strength,47.11,Cut
196,101,33,0,1.2,21.96,Strength,26.29,Lean
183,50,32,0,1.2,35.28,Health,14.93,Cut
181,76,49,0,1.55,28.01,Aesthetics,23.2,Cut
197,54,54,1,1.55,28.47,Aesthetics,13.91,Cut
174,47,22,1,1.2,38.46,Strength,15.52,Cut
189,103,57,1,1.2,39.44,Aesthetics,28.83,Cut
194,93,50,0,1.725,28.91,Health,24.71,Cut
150,103,45,0,1.2,24.7,Strength,45.78,Cut
165,75,27,0,1.725,27.45,Aesthetics,27.55,Cut
188,113,50,0,1.55,20.24,Strength,31.97,Lean
154,106,26,0,1.375,39.6,Strength,44.7,Cut
171,96,59,0,1.375,30.56,Health,32.83,Cut
178,85,19,1,1.725,17.31,Health,26.83,Lean
152,75,40,1,1.55,9.85,Aesthetics,32.46,Lean
161,66,47,1,1.55,9.43,Health,25.46,Lean
175,48,35,0,1.55,14.56,Strength,15.67,Bulk
